category,recipient,ordered,designation,description,year ordered, year delivered,delivered,comments
aircraft,Afghanistan,26,Cessna-208 Caravan,Light transport ac,3-Jul,2011-2012,-26,Part of $88 m deal; probably aid; Cessna-208B version
aircraft,Angola,-1,Citation-1,Light transport ac,-2015,2017,1,Second-hand; modified before delivery to MP aircraft in Israel
aircraft,Chile,6,S-70/UH-60L,Helicopter,2016,2018,6,$180 m deal; S-70i or MH-60M version; from Polish production line
aircraft,Montenegro,3,Bell-412,Helicopter,2018,2018,3,$37 m deal; from Canadian production line; incl 1 Bell-412EP and 2 Bell-412EPi version; incl for civilian use
aircraft,Philippines,4,OV-10 Bronco,Ground attack ac,2018,,,Second-hand; 2 OV-10A and 2 OV-10G+ version; probably aid; delivery planned 2019
aircraft,Australia,4,Boeing-737 AEW&C,AEW&C aircraft,2000,2009-2010,4,Part of AUD3.8 b ($2.5-3.5 b) 'Wedgetail' programme or 'Project Air-5077 Phase-3' (incl production of components and assembly of 2 in Australia); Australian designation A-30
aircraft,Australia,2,Boeing-737 AEW&C,AEW&C aircraft,2004,2011-2012,2,AUD326 m ($224 m) deal (part of AUD3.8 b ($2.5-3.5 b) 'Wedgetail' programme or 'Project Air-5077 Phase-3'; incl production of components and assembly in Australia); Australian designation A-30
aircraft,Australia,72,F-35A Lightning-2,FGA aircraft,-2009,2014-2019,-20,AUD16 b ($13.5 b) 'Project Air-6000' (incl production of components in Australia)
aircraft,Australia,12,P-8A Poseidon,ASW aircraft,2014,2016-2019,12,Incl production of components in Australia
aircraft,Canada,28,H-92 Superhawk,ASW helicopter,26-Jun,2015-2019,-18,CAD3.2 b 'MHP' programme (incl infrastructure; additional CAD5.8 b for support until 2028; offsets incl production of components and assembly in Canada); Canadian designation CH-148 Cyclone; delivery planned 2015-2021
aircraft,Canada,17,C-130J-30 Hercules,Transport aircraft,-2008,2010-2012,17,$1.4 b 'FSAP' programme (offsets 100% incl production of components in Canada); Canadian designation CC-130J
aircraft,Chile,6,T-35 Pillan,Trainer aircraft,-2011,2013,-6,
aircraft,Denmark,27,F-35A Lightning-2,FGA aircraft,2018,,,DKK16.4 b ($2.6 b) deal; incl production of components in Denmark
aircraft,Finland,64,F/A-18C Hornet,FGA aircraft,1992,1995-2000,-64,$3 b deal (offsets 100% incl assembly/production of 57 in Finland); incl 7 F/A-18D; Finnish designation F-18C/D
aircraft,France,1,E-2C Hawkeye,AEW&C aircraft,1999,2004,1,Part of $894 m deal ($440 m offsets incl French production of components)
aircraft,India,8,P-8A Poseidon,ASW aircraft,1-Jul,2012-2015,8,$2 b deal (offsets 30% incl production of components in India); P-8I version
aircraft,India,6,C-130J-30 Hercules,Transport aircraft,2013,2017,6,Probably $1.1 b deal (30% offsets including production in India of components for all future C-130J); for special forces
aircraft,India,22,AH-64E Apache Guardian,Combat helicopter,2015,2019,12,$1.2-1.4 b deal (incl production of components in India; part of $2.4 b deal); delivery planned 2019-2020
aircraft,India,4,P-8A Poseidon,ASW aircraft,2016,,,$1 b deal; delivery planned 2020-2021
aircraft,India,6,AH-64E Apache Guardian,Combat helicopter,-2017,,,$800 m deal; incl production of components in India; selected 2017 but not yet ordered end-2019
aircraft,Israel,50,F-16I,FGA aircraft,1999,2004-2006,50,$2.5 b 'Peace Marble-5 Phase-1' deal (financed by US 'FMF' aid; offsets 25% incl production of components in Israel); Israeli designation Suefa
aircraft,Israel,52,F-16I,FGA aircraft,2001,2006-2009,-52,$2 b 'Peace Marble-5 Phase-2' deal (incl $1.3 b for aircraft and $300 m for engines; offsets $800 m incl production of components in Israel); Israeli designation Suefa
aircraft,Israel,19,F-35A Lightning-2,FGA aircraft,2010,2016-2019,19,$2.7 b deal (incl production of components in Israel); F-35I version
aircraft,Israel,14,F-35A Lightning-2,FGA aircraft,2015,2019,-2,$2.8 b deal (incl production of components in Israel); F-35I version; delivery planned 2019-2021
aircraft,Israel,17,F-35A Lightning-2,FGA aircraft,2017,,,F-35I version; incl production of components in Israel; delivery planned by 2027
aircraft,Italy,-34,Bell-412,Helicopter,1980,1983-2007,-34,AB-412SP/HP/EP and AB-412 Griffon version; incl 10 for coast guard
aircraft,Italy,4,KC-767 GTTA,Tanker/transport ac,2002,2011-2012,4,$619 m deal (offsets up to $1.1 b incl assembly of 3 in Italy); option on 2 more
aircraft,Italy,-60,F-35A Lightning-2,FGA aircraft,-2006,2015-2019,-11,Part of EUR7.5 b deal (incl assembly and production of components in Italy); 60 planned (originally 69 planned but reduced for financial reasons)
aircraft,Italy,-30,F-35B Lightning-2,FGA aircraft,-2006,2018-2019,-2,Part of EUR7.5b deal (incl assembly and production of components in Italy); incl for use on aircraft carriers; 30 planned of which 11 agreed by end-2016 (originally 62 planned but reduced for financial reasons)
aircraft,Italy,16,CH-47F Chinook,Transport helicopter,2009,2014-2018,-16,EUR900 m ($1.2 b) deal; incl production of components and assembly in Italy); ICH-47F version; option on 4 more
aircraft,Italy,2,G-550 AEW,AEW&C aircraft,2012,2016-2018,2,$750 m deal (incl AEW system from Israel and $41 m for production of components in Italy); ordered via Israel (offsets for Israeli order of M-346 trainer aircraft); Italian designation E-550A
aircraft,Japan,210,Hughes-500D/MD,Light helicopter,1977,1978-2001,-210,OH-6D and OH-6DA armed version; incl for training
