category,recipient,year ordered,year delivered
aircraft,Afghanistan,3-Jul,2011-2012
aircraft,Angola,-2015,2017
aircraft,Chile,2016,2018
aircraft,Montenegro,2018,2018
aircraft,Philippines,2018,2019
aircraft,Australia,2000,2009-2010
aircraft,Australia,2004,2011-2012
aircraft,Australia,-2009,2014-2019
aircraft,Australia,2014,2016-2019
aircraft,Canada,26-Jun,2015-2019
aircraft,Canada,-2008,2010-2012
aircraft,Chile,-2011,2013
aircraft,Finland,1992,1995-2000
aircraft,France,1999,2004
aircraft,India,1-Jul,2012-2015
aircraft,India,2013,2017
aircraft,India,2015,2019
aircraft,India,2016,2020
aircraft,India,-2017,2019
aircraft,Israel,1999,2004-2006
aircraft,Israel,2001,2006-2009
aircraft,Israel,2010,2016-2019
aircraft,Israel,2015,2019
aircraft,Italy,1980,1983-2007
aircraft,Italy,2002,2011-2012
aircraft,Italy,-2006,2015-2019
aircraft,Italy,-2006,2018-2019
aircraft,Italy,2009,2014-2018
aircraft,Italy,2012,2016-2018
aircraft,Japan,1977,1978-2001
aircraft,Japan,1982,1984-2000
aircraft,Japan,1984,1986-2017
aircraft,Japan,1988,1991-2005
aircraft,Japan,1988,1990-2013
aircraft,Japan,1995,1998-2010
aircraft,Japan,1995,1998-2018
aircraft,Japan,1997,2005-2019
aircraft,Japan,2001,2006-2016
aircraft,Japan,-2010,2013-2018
aircraft,Japan,2017,2020
aircraft,Netherlands,30-Jun,2012-2019
aircraft,Norway,-2008,2015-2019
aircraft,Peru,-2009,2009
aircraft,Philippines,1997,2005
aircraft,Poland,25-Jun,2006-2008
aircraft,Poland,2019,2019
aircraft,South Korea,1991,1994-2001
aircraft,South Korea,2000,2003-2004
aircraft,South Korea,2002,2005-2008
aircraft,South Korea,2006,2011-2012
aircraft,South Korea,2008,2010-2012
aircraft,South Korea,2014,2019
aircraft,Turkey,24-Jun,2014-2015
aircraft,Turkey,2007,2011-2012
aircraft,Turkey,-2014,2018
aircraft,United Kingdom,1996,2000-2004
aircraft,United Kingdom,-2006,2012-2019
aircraft,United Kingdom,2011,2014-2015
aircraft,Afghanistan,3-Jul,2011
aircraft,Afghanistan,2011,2011
aircraft,Afghanistan,-2012,2013-2015
aircraft,Afghanistan,2014,2015
aircraft,Afghanistan,-2015,2016
aircraft,Afghanistan,2015,2016-2018
aircraft,Afghanistan,2016,2017-2019
aircraft,Afghanistan,2017,2018-2019
aircraft,Afghanistan,2017,2019
aircraft,Afghanistan,2018,2018-2019
aircraft,Afghanistan,-2019,2019
aircraft,Algeria,2000,2001
aircraft,Algeria,2000,2001-2002
aircraft,Algeria,-2001,2002
aircraft,Algeria,-2009,2010-2011
aircraft,Angola,-2012,2013
aircraft,Argentina,-1992,1992-2001
aircraft,Argentina,1994,1997-2000
aircraft,Argentina,1996,1997-2000
aircraft,Argentina,-2001,2001
aircraft,Argentina,2001,2001
aircraft,Argentina,2004,2005-2008
aircraft,Argentina,-2006,2007
aircraft,Argentina,-2006,2010-2019
aircraft,Argentina,2007,2008-2009
aircraft,Argentina,2009,2011-2012
aircraft,Argentina,-2011,2013
aircraft,Argentina,2014,2015
aircraft,Argentina,2014,2015
aircraft,Argentina,-2014,2015
aircraft,Argentina,2015,2015
aircraft,Argentina,2015,2015
aircraft,Argentina,2015,2015
aircraft,Argentina,-2016,2016
aircraft,Argentina,-2017,2017
aircraft,Argentina,2017,2017-2019
aircraft,Australia,1995,1999-2000
aircraft,Australia,1998,2001
aircraft,Australia,2002,2003-2004
aircraft,Australia,2005,2005-2006
aircraft,Australia,2006,2006-2008
aircraft,Australia,2007,2010-2011
aircraft,Australia,2007,2007
aircraft,Australia,-2009,2010
aircraft,Australia,2010,2011-2012
aircraft,Australia,2011,2012
aircraft,Australia,2011,2011
aircraft,Australia,2011,2012
aircraft,Australia,2011,2013-2016
aircraft,Australia,2012,2012
aircraft,Australia,2012,2015
aircraft,Australia,2013,2015-2017
aircraft,Australia,-2015,2016
aircraft,Australia,2015,2015
aircraft,Australia,2016,2016
aircraft,Austria,2000,2002
aircraft,Bahamas,-2005,2005
aircraft,Bahamas,2007,2009
aircraft,Bahrain,1998,2000
aircraft,Bahrain,2001,2005-2007
aircraft,Bahrain,2005,2006
aircraft,Bahrain,2007,2010
aircraft,Bangladesh,1999,2000
aircraft,Belgium,29-Jun,2009
aircraft,Bolivia,1999,1999-2000
aircraft,Bolivia,-2010,2011-2012
aircraft,Bolivia,-2012,2013
aircraft,Bolivia,-2012,2013
aircraft,Bolivia,-2013,2014
aircraft,Botswana,-1999,2001
aircraft,Botswana,-2018,2018
aircraft,Botswana,-2018,2019
aircraft,Brazil,-1999,2001
aircraft,Brazil,2001,2001-2002
aircraft,Brazil,2002,2011-2014
aircraft,Brazil,-2005,2005-2008
aircraft,Brazil,2006,2006-2008
aircraft,Brazil,2009,2012-2013
aircraft,Brazil,2009,2011
aircraft,Brazil,2009,2012
aircraft,Brazil,2010,2011
aircraft,Brazil,2013,2015
aircraft,Brazil,2016,2016
aircraft,Brunei,3-Jul,2013-2015
aircraft,Burkina Faso,28-Jun,2006
aircraft,Cameroon,-2009,2010
aircraft,Cameroon,-2015,2015
aircraft,Cameroon,2015,2016
aircraft,Cameroon,2016,2018
aircraft,Cameroon,-2018,2019
aircraft,Canada,1997,2000
aircraft,Canada,2002,2002
aircraft,Canada,2007,2007-2008
aircraft,Canada,2008,2008-2009
aircraft,Canada,2009,2013-2014
aircraft,Canada,-2014,2015
aircraft,Canada,2016,2017
aircraft,Central African Republic,28-Jun,2006
aircraft,Chad,-2006,2006
aircraft,Chad,2016,2017
aircraft,Chile,-1996,1997-2000
aircraft,Chile,2000,2000
aircraft,Chile,-2000,2001
aircraft,Chile,-2000,2001
aircraft,Chile,2003,2006-2007
aircraft,Chile,2007,2009
aircraft,Chile,-2009,2009-2011
aircraft,Chile,-2009,2010-2012
aircraft,Chile,-2012,2013-2015
aircraft,Chile,-2013,2015-2016
aircraft,Chile,2014,2015
aircraft,Chile,2016,2016-2017
aircraft,Colombia,1998,1999-2002
aircraft,Colombia,1998,1999-2000
aircraft,Colombia,-2000,2002-2003
aircraft,Colombia,2000,2000
aircraft,Colombia,-2000,2002
aircraft,Colombia,2000,2001
aircraft,Colombia,2000,2001
aircraft,Colombia,2000,2002-2003
aircraft,Colombia,2001,2003
aircraft,Colombia,2002,2002
aircraft,Colombia,2002,2002
aircraft,Colombia,-2002,2002
aircraft,Colombia,2004,2005-2007
aircraft,Colombia,-2005,2007
aircraft,Colombia,-2006,2007
aircraft,Colombia,-2006,2007
aircraft,Colombia,-2006,2007
aircraft,Colombia,-2006,2006-2007
aircraft,Colombia,2007,2010
aircraft,Colombia,2007,2009
aircraft,Colombia,2008,2011
aircraft,Colombia,2008,2009
aircraft,Colombia,2008,2008
aircraft,Colombia,2008,2009-2010
aircraft,Colombia,-2008,2009-2010
aircraft,Colombia,2008,2009
aircraft,Colombia,2008,2011-2012
aircraft,Colombia,-2008,2008-2010
aircraft,Colombia,-2009,2010-2013
aircraft,Colombia,2009,2010-2014
aircraft,Colombia,-2010,2011
aircraft,Colombia,2010,2010
aircraft,Colombia,-2010,2011
aircraft,Colombia,-2010,2011
